No,LocID,Location,MidPeriod,TFR,NRR,CBR,Births,LEx,IMR,Deaths,CNMR,GrowthRate,NatIncr,SRB,RANDOM
110,2068,Belt-Road Initiative: Africa,2013,4.653,1.951,35.376,175132.233,60.53,54.87,45633.014,-0.564,2.563,26.158,1.04,0.372468017
764,470,Malta,2013,1.395,0.671,9.583,20.311,81.45,5.494,16.51,7.315,0.911,1.794,1.06,0.320713752
268,2099,Countries with Access to the Sea: Oceania,2008,2.541,1.159,18.28,3224.779,76.25,23.089,1227.906,6.723,1.805,11.319,1.06,0.69698656
509,986,European Union (EU: 28),2013,1.578,0.759,10.271,25971.136,80.23,3.763,24971.815,1.85,0.225,0.395,1.06,0.26945209
1139,2042,UNICEF Programme Regions: Eastern Caribbean,2013,1.778,0.841,14.206,164.774,73.9,20.763,90.405,-0.525,0.589,6.411,1.04,0.468938499
69,36,Australia,2018,1.832,0.884,12.879,1591.568,83.2,3.107,815.414,6.403,1.269,6.281,1.055,0.245083336
1129,1704,UNFPA: West and Central Africa (WCA),2008,5.723,2.148,41.365,67880.829,52.53,81.617,21965.751,-0.522,2.75,27.98,1.05,0.38754471
550,308,Grenada,2008,2.302,1.092,17.562,9.259,73.08,12.34,4.161,-6.688,0.298,9.67,1.05,0.914142204
569,316,Guam,2013,2.448,1.171,17.459,14.024,78.5,10.068,4.019,-9.454,0.3,12.455,1.058,0.690090869
1083,762,Tajikistan,2018,3.607,1.686,31.212,1403.901,70.77,29.258,220.279,-2.223,2.412,26.315,1.065,0.890902403
344,2060,ESCAP: ADB Group C (Regular OCR only),2013,1.866,0.85,14.636,145151.871,74.1,15.837,67741.637,-0.34,0.747,7.805,1.12,0.368482056
1183,2032,UNICEF Regions: North America,2008,2.015,0.969,13.547,22711.27,78.44,6.652,13462.129,4.027,0.955,5.517,1.05,0.520326102
467,222,El Salvador,2013,2.17,1.024,19.107,597.536,71.82,17.708,215.873,-7.688,0.452,12.204,1.05,0.67650962
1159,1592,UNICEF Programme Regions: West and Central Africa (WCARO),2008,5.858,2.212,41.981,81419.148,52.95,81.984,25682.688,-0.464,2.832,28.738,1.04,0.211101885
23,2083,African Union: Southern Africa,2013,4.096,1.765,33.598,26077.753,57.98,55.287,7949.589,0.139,2.352,23.356,1.03,0.212183551
871,807,North Macedonia,2008,1.46,0.694,11.072,114.349,74.17,10.752,96.491,-0.716,0.101,1.729,1.07,0.076285892
517,250,France,2008,1.977,0.957,12.823,3975.235,80.95,3.72,2661.948,1.439,0.568,4.236,1.047,0.416089902
103,84,Belize,2008,2.84,1.35,24.467,37.083,70.69,17.296,7.138,5.755,2.555,19.757,1.03,0.494295825
934,616,Poland,2008,1.374,0.661,10.502,2013.642,75.56,5.655,1874.357,-0.931,-0.02,0.727,1.056,0.551111973
568,316,Guam,2008,2.539,1.211,18.345,14.577,77.36,11.37,3.762,-12.303,0.131,13.611,1.058,0.034658344
919,591,Panama,2008,2.632,1.242,21.536,375.429,76.31,17.779,85.208,1.276,1.794,16.648,1.05,0.370405913
92,50,Bangladesh,2013,2.212,1.018,20.069,15243.723,70.79,33.154,4256.039,-3.037,1.143,14.466,1.049,0.097831427
786,954,Micronesia,2018,2.858,1.312,20.93,56.085,73.14,24.972,15.325,-5.518,0.971,15.211,1.06,0.480008451
295,208,Denmark,2008,1.854,0.894,11.749,322.398,78.58,3.729,277.239,3.206,0.485,1.646,1.055,0.660530167
194,148,Chad,2013,6.31,2.396,45.089,2937.923,52.27,84.06,879.085,1.535,3.321,31.597,1.03,0.595240177
958,643,Russian Federation,2008,1.456,0.689,11.42,8197.978,67.14,10.677,10717.493,3.241,-0.027,-3.509,1.058,0.70937989
1325,894,Zambia,2013,5.2,2.246,39.806,2934.269,59.29,53.306,610.889,-0.678,3.09,31.519,1.031,0.280455092
1081,762,Tajikistan,2008,3.609,1.634,30.751,1100.65,67.73,38.998,216.782,-4.073,2.064,24.694,1.07,0.099449643
1234,840,United States of America,2008,2.055,0.989,13.812,20856.447,78.19,6.784,12267.237,3.595,0.929,5.688,1.048,0.864536113
818,504,Morocco,2013,2.6,1.213,21.253,3560.297,75.03,24.171,872.98,-2.191,1.386,16.042,1.06,0.897876085
1145,1585,UNICEF Programme Regions: Europe and Central Asia (CEECIS),2013,2.068,0.959,16.37,21783.92,72.47,17.06,12429.527,0.688,0.772,7.029,1.06,0.442566947
840,540,New Caledonia,2018,1.97,0.943,14.29,19.883,77.28,11.512,7.959,1.804,1.038,8.57,1.05,0.664716996
971,2091,SIDS Caribbean,2013,2.308,1.044,17.93,3756.099,71.63,33.182,1637.637,-3.424,0.669,10.113,1.05,0.274523489
733,434,Libya,2008,2.5,1.172,21.78,653.192,72.33,17.581,135.59,-3.953,1.331,17.259,1.059,0.987123905
987,678,Sao Tome and Principe,2018,4.35,2.045,31.75,33.226,70.05,26.424,5.095,-8.028,1.887,26.881,1.03,0.716441005
171,124,Canada,2018,1.525,0.736,10.452,1927.664,82.22,4.505,1422.343,6.562,0.93,2.74,1.053,0.859473458
1250,548,Vanuatu,2013,4,1.853,31.671,40.17,69.49,24.303,7.036,1.407,2.757,26.124,1.07,0.515746984
301,262,Djibouti,2008,3.55,1.44,26.506,107.577,59.05,63.416,38.416,-3.011,1.404,17.041,1.039,0.281237853
468,222,El Salvador,2018,2.053,0.973,18.382,588.734,72.99,14.573,224.96,-6.329,0.503,11.358,1.05,0.162258875
1313,732,Western Sahara,2013,2.6,1.199,22.2,55.86,68.41,34.131,12.78,1.137,1.827,17.121,1.03,0.305220809
525,254,French Guiana,2018,3.36,1.616,25.565,35.771,79.73,8.704,4.091,4.288,2.697,22.641,1.05,0.85318877
1068,729,Sudan,2018,4.434,1.943,32.361,6694.834,64.95,42.864,1498.516,-1.208,2.394,25.118,1.04,0.478496931
385,2053,ESCAP: high HDI,2008,1.363,0.655,9.517,10261.543,81.96,3.12,8078.285,2.066,0.409,2.025,1.06,0.569057631
97,112,Belarus,2008,1.442,0.689,10.822,513.593,69.26,6.268,719.039,1.347,-0.298,-4.329,1.063,0.724035118
