No,LocID,Location,MidPeriod,TFR,NRR,CBR,Births,LEx,IMR,Deaths,CNMR,GrowthRate,NatIncr,SRB,RANDOM
210,344,"China, Hong Kong SAR",2018,1.326,0.635,11.085,406.908,84.63,1.323,242.457,3.992,0.847,4.48,1.078,0.30100309
920,591,Panama,2013,2.6,1.231,20.609,392.156,77.29,16,94.459,1.477,1.713,15.645,1.05,0.305032664
8,1823,African Group,2013,4.733,1.979,35.885,199032.634,60.23,55.966,51759.575,-0.766,2.582,26.553,1.04,0.671560451
709,902,Less developed regions,2008,2.749,1.188,22.306,616478.091,67.14,44.928,210168.891,-0.613,1.409,14.701,1.08,0.8976875
1076,756,Switzerland,2013,1.526,0.738,10.333,416.059,82.69,3.893,325.231,9.867,1.213,2.255,1.052,0.793923236
923,598,Papua New Guinea,2013,3.838,1.665,28.892,1113.671,62.73,48.312,312.411,-0.104,2.07,20.787,1.08,0.964040891
546,1536,Greater Arab Free Trade Area (GAFTA),2018,3.162,1.458,24.618,48664.778,72.28,22.618,10210.493,-0.621,1.885,19.453,1.05,0.976345688
706,426,Lesotho,2008,3.373,1.269,29.652,295.905,43.07,74.942,203.964,-9.267,-0.005,9.213,1.029,0.202890988
1126,1613,UNFPA: Latin America and the Caribbean (LAC),2008,2.262,1.064,19.041,54237.708,73.41,20.304,16741.203,-1.276,1.189,13.164,1.05,0.173153429
551,308,Grenada,2013,2.183,1.033,17.347,9.36,72.6,13.674,4.987,-1.853,0.625,8.105,1.05,0.587833077
1122,1703,UNFPA: East and Southern Africa (ESA),2018,4.401,1.943,34.034,98535.154,63.15,45.541,21889.733,-0.115,2.64,26.473,1.03,0.53375624
907,2085,Organization of American States (OAS),2008,2.186,1.031,17.008,76910.821,75.35,16.276,30183.141,0.685,1.102,10.333,1.05,0.665506319
829,524,Nepal,2008,2.813,1.265,24.046,3171.528,66.47,42.624,931.237,-7.366,0.962,16.986,1.054,0.371966759
1232,850,United States Virgin Islands,2013,2.288,1.094,13.857,7.311,79.41,8.961,3.944,-8.531,-0.215,6.382,1.06,0.560080447
612,368,Iraq,2018,3.682,1.703,29.131,5519.936,70.37,24.105,908.877,0.207,2.457,24.334,1.065,0.032316311
230,2076,Commonwealth: Asia,2013,2.512,1.111,20.634,172209.461,67.95,42.426,58803.878,-0.678,1.292,13.588,1.09,0.926547343
330,1073,ESCAP region: South and South-West Asia,2018,2.384,1.069,19.421,190867.81,69.72,34.969,67465.113,-0.516,1.204,12.556,1.09,0.313798864
