No,Country,Region,Population,Area,Pop. Density,Coastline,Net migration,Infant mortality,GDP,Literacy,Phones,Arable,Crops,Other,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
184,Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250.00 ,71740.00 ,83.7,0.56,0,143.64,500,31.4,4,6.98,0.89,92.13,2,45.76,23.03,0.49,0.31,0.21
66,Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981.00 ,1127127.00 ,66.3,0,0,95.32,700,42.7,8.2,10.71,0.75,88.54,2,37.98,14.86,0.475,0.099,0.426
36,Cameroon ,SUB-SAHARAN AFRICA                 ,17340702.00 ,475440.00 ,36.5,0.08,0,68.26,1800,79,5.7,12.81,2.58,84.61,1.5,33.89,13.47,0.448,0.17,0.382
181,Senegal ,SUB-SAHARAN AFRICA                 ,11987121.00 ,196190.00 ,61.1,0.27,0.2,55.51,1600,40.2,22.2,12.78,0.21,87.01,2,32.78,9.42,0.172,0.209,0.619
76,Georgia ,C.W. OF IND. STATES ,4661473.00 ,69700.00 ,66.9,0.44,-4.7,18.59,2500,99,146.6,11.44,3.86,84.7,3,10.41,9.23,0.172,0.275,0.553
167,Qatar ,NEAR EAST                          ,885359.00 ,11437.00 ,77.4,4.92,16.29,18.61,21500,82.5,232,1.64,0.27,98.09,1,15.56,4.72,0.002,0.801,0.197
210,Tuvalu ,OCEANIA                            ,11810.00 ,26.00 ,454.2,92.31,0,20.03,1100,0,59.3,0,0,100,2,22.18,7.11,0.166,0.272,0.562
68,Fiji ,OCEANIA                            ,905949.00 ,18270.00 ,49.6,6.18,-3.14,12.62,5800,93.7,112.6,10.95,4.65,84.4,2,22.55,5.65,0.089,0.135,0.776
75,Gaza Strip ,NEAR EAST                          ,1428757.00 ,360.00 ,3968.8,11.11,1.6,22.93,600,0,244.3,28.95,21.05,50,3,39.45,3.8,0.03,0.283,0.687
87,Guinea ,SUB-SAHARAN AFRICA                 ,9690222.00 ,245857.00 ,39.4,0.13,-3.06,90.37,2100,35.9,2.7,3.63,2.58,93.79,2,41.76,15.48,0.237,0.362,0.401
