No,Country (or dependency),Population (2020),Yearly Change,Net Change,Density (P/KmÂ²),Land Area (KmÂ²),Migrants ,Fert. Rate,Med. Age,Urban Pop,World Share
206,Yemen,29935468,0.0228,664042,56,527970,-30000,3.8,20,0.38,0.0038
129,Nepal,29225196,0.0185,528098,203,143350,41710,1.9,25,0.21,0.0037
125,Venezuela,28421581,-0.0028,-79889,32,882050,-653249,2.3,30,0,0.0036
224,Madagascar,27808395,0.0268,721711,48,581795,-1500,4.1,20,0.39,0.0036
11,Cameroon,26655083,0.0259,669483,56,472710,-4800,4.6,19,0.56,0.0034
233,CÃ´te d'Ivoire,26486282,0.0257,661730,83,318000,-8000,4.7,19,0.51,0.0034
110,North Korea,25798588,0.0044,112655,214,120410,-5403,1.9,35,0.63,0.0033
30,Australia,25550683,0.0118,296686,3,7682300,158246,1.8,38,0.86,0.0033
19,Niger,24346468,0.0384,895929,19,1266700,4000,7,15,0.17,0.0031
135,Taiwan,23824369,0.0018,42899,673,35410,30001,1.2,42,0.79,0.0031
107,Sri Lanka,21428970,0.0042,89516,341,62710,-97986,2.2,34,0.18,0.0027
49,Burkina Faso,20997293,0.0286,581895,76,273600,-25000,5.2,18,0.31,0.0027
99,Mali,20346106,0.0302,592802,17,1220190,-40000,5.9,16,0.44,0.0026
53,Romania,19214608,-0.0066,-126866,84,230170,-73999,1.6,43,0.55,0.0025
49,Malawi,19211425,0.0269,501205,203,94280,-16053,4.3,18,0.18,0.0025
23,Chile,19144605,0.0087,164163,26,743532,111708,1.7,35,0.85,0.0025
235,Kazakhstan,18815231,0.0121,225280,7,2699700,-18000,2.8,31,0.58,0.0024
217,Zambia,18468257,0.0293,522925,25,743390,-8000,4.7,18,0.45,0.0024
30,Guatemala,17971382,0.019,334096,167,107160,-9215,2.9,23,0.52,0.0023
77,Ecuador,17688599,0.0155,269392,71,248360,36400,2.4,28,0.63,0.0023
162,Syria,17571053,0.0252,430523,95,183630,-427391,2.8,26,0.6,0.0022
132,Netherlands,17141544,0.0022,37742,508,33720,16000,1.7,43,0.92,0.0022
184,Senegal,16816539,0.0275,447563,87,192530,-20000,4.7,19,0.49,0.0021
119,Cambodia,16758448,0.0141,232423,95,176520,-30000,2.5,26,0.24,0.0021
160,Chad,16502877,0.03,478988,13,1259200,2000,5.8,17,0.23,0.0021
172,Somalia,15965848,0.0292,450317,25,627340,-40000,6.1,17,0.47,0.002
9,Zimbabwe,14899771,0.0148,217456,38,386850,-116858,3.6,19,0.38,0.0019
68,Guinea,13191279,0.0283,361549,53,245720,-4000,4.7,18,0.39,0.0017
202,Rwanda,13005303,0.0258,325268,525,24670,-9000,4.1,20,0.18,0.0017
138,Benin,12175480,0.0273,322049,108,112760,-2000,4.9,19,0.48,0.0016
181,Burundi,11948454,0.0312,360204,463,25680,2001,5.5,17,0.14,0.0015
203,Tunisia,11839918,0.0106,123900,76,155360,-4000,2.2,33,0.7,0.0015
139,Bolivia,11700207,0.0139,159921,11,1083300,-9504,2.8,26,0.69,0.0015
28,Belgium,11598451,0.0044,50295,383,30280,48000,1.7,42,0.98,0.0015
231,Haiti,11426356,0.0124,139451,414,27560,-35000,3,24,0.57,0.0015
36,Cuba,11325391,-0.0006,-6867,106,106440,-14400,1.6,42,0.78,0.0015
101,South Sudan,11216250,0.0119,131612,18,610952,-174200,4.7,19,0.25,0.0014
58,Dominican Republic,10866667,0.0101,108952,225,48320,-30000,2.4,28,0.85,0.0014
157,Czech Republic (Czechia),10712481,0.0018,19772,139,77240,22011,1.6,43,0.74,0.0014
222,Greece,10413936,-0.0048,-50401,81,128900,-16000,1.3,46,0.85,0.0013
77,Jordan,10220604,0.01,101440,115,88780,10220,2.8,24,0.91,0.0013
130,Portugal,10191409,-0.0029,-29478,111,91590,-6000,1.3,46,0.66,0.0013
62,Azerbaijan,10154978,0.0091,91459,123,82658,1200,2.1,32,0.56,0.0013
129,Sweden,10110233,0.0063,62886,25,410340,40000,1.9,41,0.88,0.0013
196,Honduras,9931333,0.0163,158490,89,111890,-6800,2.5,24,0.57,0.0013
174,United Arab Emirates,9910892,0.0123,119873,118,83600,40000,1.4,33,0.86,0.0013
1,Hungary,9655983,-0.0025,-24328,107,90530,6000,1.5,43,0.72,0.0012
138,Tajikistan,9573310,0.0232,216627,68,139960,-20000,3.6,22,0.27,0.0012
